title,category,old_filename,old_slug,new_slug,is_bad_old,published
Nepali New Story - केही छैन असम्भव | नेपाली लघुकथा,Nepali Story/Katha,/2018/12/nepali-new-story.html,nepali-new-story,nepali-new-story-kehi-chaina-asambhava-nepali-laghukatha,False,2018-12-09
बालदिवस निबन्ध,Nepali Essay/Nibandha,/2018/03/blog-post_36.html,blog-post_36,baladivasa-nibandha,True,2018-03-17
Janmabhumi Question and Answer Class 10 Nepali,Class 10,/2021/09/class-10-see-nepali-book-note-lesson-1.html,class-10-see-nepali-book-note-lesson-1,janmabhumi-question-and-answer-class-10-nepali,False,2021-09-10
लक्ष्य कविता | Poem on Aim in life in Nepali,Nepali Poems/Kabita,/2018/11/poem-on-aim-in-life-in-nepali.html,poem-on-aim-in-life-in-nepali,poem-on-aim-in-life-in-nepali,False,2018-11-20
सामान्य ज्ञान नेपाली General Knowledge in Nepali,nepalisamanyagyan,/2019/01/general-knowledge-in-nepali.html,general-knowledge-in-nepali,samanya-jnana-nepali-general-knowledge-in-nepali,False,2019-01-10
बल भन्दा बुद्धि ठूलो वादविवाद नेपालीमा |,Nepali Essay/Nibandha,/2018/09/blog-post.html,blog-pos,bala-bhanda-buddhi-thulo-vadavivada-nepalima,True,2018-09-04
Essay on Children Day in Nepali Children Day Special Articles,Nepali Essay/Nibandha,/2019/06/essay-on-children-day-in-nepali.html,essay-on-children-day-in-nepali,essay-on-children-day-in-nepali-children-day-special,False,2019-06-05
CLASS 9 PRACTICE QUESTIONS 2077/2078,CLASS 9,/2019/07/class-9-practice-questions-2075.html,class-9-practice-questions-2075,class-9-practice-questions-2077-2078,False,2019-07-13
नेपालको प्राकृतिको बारेमा निबध (नेपालको प्रकृतिक सम्पदा),Nepali Poems/Kabita,/2018/05/blog-post.html,blog-pos,nepalako-prakrritiko-barema-nibadha-nepalako-prakrritika,True,2018-05-25
नयाँ नेपाली कविता Lekhnath Paudel,Nepali Poems/Kabita,/2019/01/blog-post_78.html,blog-post_78,nayan-nepali-kavita-lekhnath-paudel,True,2019-01-06
